2MASS,OSpT,OGrav,IRSpT,IGrav,f_IRSpT,Plx,e_Plx,Dist,e_Dist,logL,e_logL,Teff,e_Teff,Mass,e_Mass
03264225-2102057,L5,beta,L5,beta gamma,a,,,41,1,-4.235,0.022,1346.0,26.0,13.77,2.6
03350208+2342356,M8.5,-,M7.5,beta,,23.6,1.3,,,,,,,,
03393521-3525440,M9,beta,L0,beta,,155.89,1.03,,,-3.563,0.005,1939.0,142.0,29.62,16.67
03421621-6817321,L4,gamma,-,-,,,,21,9,-3.848,0.372,1590.0,349.0,12.38,6.11
03552337+1133437,L5,gamma,L3-L6,gamma,,110.8,4.3,,,-4.104,0.034,1478.0,58.0,21.62,6.14
04362788-4114465,M8,beta,M9,gamma,,,,23,6,-2.872,0.227,2452.0,404.0,38.5,22.59
05012406-0010452,L4,gamma,L3,gamma,,51.0,3.7,,,-3.962,0.063,1563.0,116.0,22.15,13.2
05184616-2756457,L1,gamma,L1,gamma,,21.4,6.9,,,-3.575,0.28,1808.0,301.0,19.94,9.23
05361998-1920396,L2,gamma,L2,gamma,,25.6,9.4,,,-3.826,0.319,1666.0,334.0,27.71,20.46
05575096-1359503,M7,-,M7,gamma,,1.9,1.0,,,,,,,,
06023045+3910592,L1,-,L1,beta,,88.5,1.6,,,-3.65,0.016,1857.0,133.0,27.88,15.63
06085283-2753583,M8.5,gamma,L0,gamma,,32.0,3.6,,,-3.344,0.098,2147.0,228.0,37.85,24.05
06524851-5741376,M8,beta,-,-,,31.3,3.2,,,,,,,,
07123786-6155528,L1,beta,L1,gamma,,22.9,9.1,,,-3.598,0.345,1861.0,412.0,35.66,25.8
07140394+3702459,M8,-,M7.5,beta,,80.1,4.8,,,-3.479,0.052,2352.0,97.0,77.81,11.75
G196-3B,L3,beta,L3,gamma,,41.0,4.1,,,-3.752,0.087,1789.0,177.0,32.83,20.25
10220489+0200477,M9,beta,M9,beta,,26.4,11.5,,,-3.323,0.378,2097.0,526.0,47.09,35.09
10224821+5825453,L1,beta,L1,beta,,54.3,2.5,,,-3.682,0.041,1823.0,136.0,27.55,15.72
TWA28,M8.5,gamma,M9,gamma,,18.1,0.5,,,-2.561,0.024,2664.0,81.0,35.39,10.23
11193254-1137466,-,-,L7,gamma,,,,35,5,-4.363,0.124,1223.0,90.0,6.57,1.94
TWA26,M9,gamma,M9,gamma,,23.82,2.58,,,-2.587,0.094,2641.0,192.0,35.3,13.73
114724.10-204021.3,-,-,L7,gamma,,,,32,4,-4.346,0.109,1235.0,80.0,6.64,1.89
TWA27A,M8,gamma,M8,gamma,,19.1,0.4,,,-2.602,0.018,2635.0,73.0,33.04,9.32
12074836-3900043,L0,gamma,L1,gamma,,,,15,3,-3.485,0.076,1882.0,84.0,13.75,0.75
TWA29,M9.5,gamma,L0,gamma,,12.66,2.07,,,-2.905,0.142,2394.0,236.0,24.74,8.43
14252798-3650229,L3,-,L4,gamma,,86.45,0.83,,,-4.038,0.009,1535.0,53.0,22.52,6.07
15525906+2948485,L0,beta,L0,beta,,48.8,2.7,,,-3.538,0.017,1967.0,153.0,30.34,17.3
17260007+1538190,L3.5,gamma,L3,gamma,,28.6,2.9,,,-3.844,0.088,1667.0,146.0,24.82,14.86
18212815+1414010,L4.5,-,L4 pec,,,106.65,0.23,,,-2.801,0.006,2986.0,23.0,121.27,6.38
20004841-7523070,M9,gamma,M9,gamma,a,,,31,1,-2.972,0.028,2375.0,74.0,24.28,5.63
20575409-0252302,L1.5,-,L2,beta,,70.1,3.7,,,-3.767,0.046,2041.0,88.0,69.5,13.04
21140802-2251358,-,-,L6-L8,gamma,,40.7,2.4,,,-4.39,0.052,1213.0,38.0,6.44,1.29
21265040-8140293,L3,gamma,L3,gamma,,31.3,2.6,,,-3.866,0.072,1651.0,132.0,24.21,14.3
21544859-7459134,-,-,M9.5,beta,,,,21,7,-3.219,0.29,2118.0,385.0,28.51,15.15
22064498-4217208,L4,gamma,L4,gamma,a,,,35,2,-3.997,0.009,1566.0,59.0,23.15,6.37
22081363+2921215,L3,gamma,L3,gamma,,21.2,0.7,,,-3.705,0.029,1799.0,131.0,26.96,15.2
22351658-3844154,-,-,L1.5,gamma,,,,22,2,,,,,,
22353560-5906306,-,-,M8.5,beta,,,,23,5,-3.294,0.189,2076.0,251.0,25.13,11.58
22443167+2043433,L6.5p,-,L6-L8,gamma,a,,,54,4,-4.503,0.007,1184.0,10.0,10.46,1.49
23224684-3133231,L0,beta,L2,beta,,58.6,5.6,,,-3.85,0.083,1667.0,139.0,24.65,14.69
23225299-6151275,L2,gamma,L3,gamma,a,,,22,1,-3.606,0.04,1793.0,50.0,15.05,2.66
